date,death,positive
20200903,8324,241705
20200902,8300,240345
20200901,8273,238217
20200831,8235,236725
20200830,8228,235057
20200829,8217,233065
20200828,8206,231185
20200827,8186,228751
20200826,8163,227044
20200825,8126,224887
20200824,8097,223207
20200823,8089,221595
20200822,8083,219702
20200821,8066,217346
20200820,8044,215053
20200819,8017,213221
20200818,7993,210926
20200817,7967,209186
20200816,7955,207413
20200815,7937,205851
20200814,7932,204023
20200813,7905,201727
20200812,7881,199893
20200811,7866,198248
20200810,7846,196699
20200809,7845,195380
20200808,7840,193998
20200807,7822,191808
20200806,7791,189705
20200805,7770,187752
20200804,7742,185993
20200803,7723,184522
20200802,7714,183224
20200801,7700,181757
20200731,7692,180118
20200730,7670,178138
20200729,7654,176366
20200728,7638,174973
20200727,7608,173897
20200726,7590,172666
20200725,7589,171125
20200724,7577,169699
20200723,7560,168100
20200722,7540,166476
20200721,7517,164878
20200720,7494,163923
20200719,7488,162750
20200718,7483,161785
20200717,7465,160509
20200716,7452,159082
20200715,7427,157825
20200714,7419,156638
20200713,7394,155931
20200712,7388,155048
20200711,7369,154094
20200710,7345,152899
20200709,7329,151572
20200708,7309,150554
20200707,7273,149574
20200706,7236,148987
20200705,7230,148373
20200704,7224,147734
20200703,7215,146872
20200702,7188,145935
20200701,7152,145066
20200630,7124,144238
20200629,7103,143514
20200628,7089,142776
20200627,7074,142130
20200626,7048,141344
20200625,7014,140434
20200624,6974,139540
20200623,6911,138825
20200622,6875,138224
20200621,6851,137762
20200620,6829,137104
20200619,6718,136470
20200618,6718,135639
20200617,6666,135046
20200616,6579,134500
20200615,6507,133877
20200614,6489,133404
20200613,6470,132732
20200612,6441,132059
20200611,6363,131327
20200610,6273,130561
20200609,6196,129936
20200608,6102,129139
20200607,5904,127757
20200606,5864,126890
20200605,5795,125915
20200604,5736,124759
20200603,5621,123830
20200602,5525,122848
20200601,5412,121234
20200531,5390,120260
20200530,5330,118917
20200529,5270,117455
20200528,5186,115833
20200527,5083,114306
20200526,4923,113195
20200525,4884,112017
20200524,4856,110304
20200523,4790,107796
20200522,4715,105444
20200521,4607,102686
20200520,4525,100418
20200519,4379,98030
20200518,4234,96485
20200517,4177,94191
20200516,4129,92457
20200515,4058,90369
20200514,3928,87937
20200513,3792,84698
20200512,3601,83021
20200511,3459,79007
20200510,3406,77741
20200509,3349,76085
20200508,3241,73760
20200507,3111,70873
20200506,2974,68232
20200505,2838,65962
20200504,2662,63840
20200503,2618,61499
20200502,2559,58505
20200501,2457,56055
20200430,2355,52918
20200429,2215,50355
20200428,2125,48102
20200427,1983,45883
20200426,1933,43903
20200425,1874,41777
20200424,1795,39658
20200423,1688,36934
20200422,1565,35108
20200421,1468,33059
20200420,1349,31508
20200419,1290,30357
20200418,1259,29160
20200417,1134,27575
20200416,1072,25733
20200415,948,24593
20200414,868,23247
20200413,794,22025
20200412,720,20852
20200411,677,19180
20200410,596,17887
20200409,528,16422
20200408,462,15078
20200407,380,13549
20200406,307,12262
20200405,274,11256
20200404,243,10357
20200403,210,8904
20200402,157,7695
20200401,141,6980
20200331,99,5994
20200330,73,5057
20200329,65,4596
20200328,47,3491
20200327,34,3026
20200326,26,2538
20200325,19,1865
20200324,16,1535
20200323,12,1273
20200322,9,1049
20200321,6,753
20200320,5,585
20200319,4,422
20200318,1,288
20200317,1,159
20200316,,93
20200315,,64
20200314,,46
20200313,,32
20200312,,25
20200311,,19
20200310,,19
20200309,,7
20200308,,6
20200307,,6
20200306,,5
20200305,,5
20200304,,4
