code,party
100,Democratic
200,Republican
Party,Code
1,Federalist
13,Democratic-Republican
22,Adams
26,Anti
29,Whig
37,Constitutional
44,Nullifier
46,States
108,Anti-Lecompton
112,Conservative
114,Readjuster
117,Readjuster
203,Unconditional
206,Unionist
208,Liberal
213,Progressive
300,Free
310,American
326,National
340,Populist
347,Prohibitionist
354,Silver
355,Union
356,Union
370,Progressive
380,Socialist
402,Liberal
403,Law
522,American
523,American
537,Farmer-Labor
555,Jackson
1060,Silver
1111,Liberty
1116,Conservative
1275,Anti-Jacksonians
1346,Jackson
3333,Opposition
3334,Opposition
4000,Anti-Administration
4444,Constitutional
5000,Pro-Administration
6000,Crawford
7000,Jackson
7777,Crawford
8000,Adams-Clay
8888,Adams-Clay
Party,Code
328,Independent
329,Independent
331,Independent
603,Independent
