EmissionWavelength,Intensity
380,376.8601
381,361.99319
382,328.65551
383,357.77739
384,359.86483
385,349.87255
386,297.0456
387,355.97399
388,292.27775
389,354.35007
390,348.81719
391,415.645
392,367.7596
393,396.3275
394,403.77363
395,423.56986
396,429.88854
397,513.57414
398,504.50008
399,538.92468
400,551.66756
401,600.805
402,646.57154
403,655.96802
404,738.12516
405,812.09609
406,930.93694
407,1067.9794
408,1213.9267
409,1449.5449
410,1746.8934
411,1958.5256
412,2221.3282
413,2715.3946
414,3264.3072
415,3730.8703
416,4462.3555
417,5174.7683
418,5987.9589
419,6700.6624
420,7676.2213
421,8539.1714
422,9191.3746
423,9939.1612
424,10785.813
425,11471.995
426,12342.047
427,13350.571
428,14330.942
429,15588.632
430,16814.081
431,18746.626
432,20494.232
433,22422.365
434,24750.845
435,26851.663
436,29930.206
437,32638.006
438,34997.722
439,37143.78
440,39720.362
441,41788.822
442,43015.007
443,44639.32
444,45336.43
445,46586.436
446,47586.669
447,48424.022
448,49779.339
449,51497.149
450,53311.235
451,55025.541
452,58135.468
453,60553.753
454,63525.44
455,64997.681
456,69214.58
457,71123.693
458,75946.925
459,78597.43
460,82485.626
461,84669.742
462,89889.351
463,92719.557
464,95829.138
465,100368.85
466,102366.12
467,105392.53
468,108729.92
469,110384.7
470,112621.85
471,112491.79
472,113729.92
473,114161.46
474,114231.94
475,112397.48
476,113828.22
477,113491.41
478,112442.86
479,112661.13
480,113956.72
481,112468.56
482,112810.68
483,112838.31
484,113448.83
485,113065.95
486,113411.09
487,112768.96
488,113577.04
489,113063.43
490,113330.01
491,114047.37
492,115400.24
493,117135.29
494,117247.43
495,118831.07
496,119549.1
497,122064.9
498,122575.71
499,126144.5
500,130521.3
501,131015.86
502,135451.69
503,136934.71
504,142844.66
505,144065.22
506,145217.76
507,145878.51
508,147486.47
509,145899.74
510,143798.48
511,142075.1
512,139416.58
513,136557.01
514,134825.89
515,130658.14
516,128035.36
517,122793.6
518,120633.51
519,118332.44
520,115096.06
521,112080.92
522,109355.57
523,106622.5
524,105243.7
525,101786.34
526,100486.44
527,98266.212
528,96678.413
529,94854.633
530,91727.175
531,92361.227
532,90574.409
533,88447.654
534,86515.972
535,84678.997
536,84752.958
537,82410.884
538,80652.565
539,79827.258
540,79321.342
541,78089.38
542,77074.414
543,76301.432
544,74269.03
545,74066.156
546,71968.315
547,70624.959
548,69748.685
549,68215.244
550,67414.748
551,66031.935
552,64752.097
553,63615.134
554,61278.981
555,61569.26
556,59830.721
557,58670.839
558,57219.292
559,56510.089
560,55646.864
561,54274.201
562,53087.193
563,52346.026
564,51076.751
565,50309.022
566,49469.162
567,48125.751
568,47002.433
569,46656.871
570,45551.707
571,45009.93
572,43981.409
573,43663.364
574,42690.332
575,41959.516
576,41291.461
577,40177.693
578,40034.702
579,39409.829
580,38659.696
581,37908.692
582,37541.57
583,36812.602
584,36224.634
585,35203.354
586,35173.593
587,34632.473
588,34367.96
589,34060.07
590,33340.019
591,32869.534
592,32622.616
593,31833.795
594,31557.07
595,31050.692
596,30619.512
597,30606.55
598,30125.202
599,29723.471
600,29573.592
601,29039.248
602,28759.076
603,28630.042
604,28469.367
605,28119.142
606,28220.271
607,27624.576
608,27684.329
609,27194.663
610,27488.615
611,27263.432
612,26952.829
613,27197.194
614,26754.367
615,26711.085
616,26757.426
617,26579.049
618,26801.697
619,26323.852
620,26835.459
621,26251.725
622,26236.953
623,25761.125
624,25919.132
625,25778.019
626,25557.775
627,25505.473
628,25666.554
629,25182.172
630,25375.502
631,24840.226
632,24583.754
633,24449.869
634,24566.517
635,24625.155
636,24524.099
637,24455.493
638,23864.547
639,23700.328
640,23262.99
641,23529.087
642,23431.068
643,23413.99
644,23157.027
645,23292.701
646,23649.612
647,23248.921
648,24072.293
649,23646.501
650,23342.346
651,23281.378
652,23239.357
653,22900.788
654,22623.049
655,22802.218
656,22481.628
657,21998.295
658,22160.691
659,22471.872
660,22418.81
661,22211.335
662,22184.588
663,22304.209
664,22766.297
665,23066.475
666,22946.429
667,22770.238
668,22966.636
669,23131.013
670,23373.14
671,23005.496
672,23533.382
673,23219.845
674,23415.801
675,23349.726
676,23168.585
677,23171.089
678,23229.121
679,23635.737
680,23851.67
