time,energy
0.0,4716827.7
250.0,38572.036
500.0,29147.179
750.0,28378.487999999998
1000.0,28492.916
1250.0,28528.6
1500.0,28358.577999999998
1750.0,28364.264
2000.0,28051.597999999998
2250.0,28021.94
2500.0,27944.494
2750.0,27932.275
3000.0,28016.62
3250.0,27917.529
3500.0,27505.854
3750.0,27275.627999999997
4000.0,27103.859
4250.0,27202.656000000003
4500.0,26987.807999999997
4750.0,26645.94
5000.0,26694.131
5250.0,26772.172000000002
5500.0,26700.571
5750.0,26464.772
6000.0,26418.004
6250.0,26206.007999999998
6500.0,25771.588
6750.0,25642.779
7000.0,25558.869
7250.0,25353.022999999997
7500.0,25278.093999999997
7750.0,25160.154
8000.0,24987.766
8250.0,24868.932
8500.0,24956.736
8750.0,24623.932
9000.0,24254.278
9250.0,24164.339
9500.0,23970.247000000003
9750.0,23854.15
10000.0,23836.607999999997
10250.0,23759.077
10500.0,23653.509
10750.0,23332.509
11000.0,23427.254
11250.0,23244.307999999997
11500.0,23158.875
11750.0,23057.734
12000.0,23144.727000000003
12250.0,23299.735
12500.0,23149.629
12750.0,23063.963
13000.0,22983.593999999997
13250.0,22710.23
13500.0,22675.495
13750.0,22702.71
14000.0,22664.25
14250.0,22583.408
14500.0,22543.611
14750.0,22839.646
15000.0,22768.619
15250.0,22447.057
15500.0,22478.211
15750.0,22398.547000000002
16000.0,22330.787999999997
16250.0,22037.171000000002
16500.0,22353.681
16750.0,22219.406000000003
17000.0,22292.621
17250.0,22241.988999999998
17500.0,22252.064
17750.0,22292.838
18000.0,21946.257
18250.0,22139.69
18500.0,21882.672000000002
18750.0,22225.205
19000.0,22230.161
19250.0,22309.732999999997
19500.0,22023.687
19750.0,21832.706000000002
20000.0,22116.435
20250.0,22043.971
20500.0,22054.547000000002
20750.0,21874.591
21000.0,21910.833
21250.0,21674.412999999997
21500.0,21843.987999999998
21750.0,21936.525
22000.0,22075.467
22250.0,22206.615
22500.0,21790.741
22750.0,21732.001
23000.0,21895.991
23250.0,21699.737999999998
23500.0,21712.842
23750.0,21623.857999999997
24000.0,21843.705
24250.0,21719.18
24500.0,21530.243
24750.0,21537.827999999998
25000.0,21476.732999999997
25250.0,21499.387000000002
25500.0,21531.343999999997
25750.0,21727.597
26000.0,21671.975
26250.0,21827.0
26500.0,21531.017000000003
26750.0,21388.962000000003
27000.0,21698.512000000002
27250.0,21166.994
27500.0,21210.603
27750.0,21279.962000000003
28000.0,21218.26
28250.0,21198.134
28500.0,21222.457000000002
28750.0,21095.414
29000.0,20994.06
29250.0,21151.244
29500.0,21207.165
29750.0,21193.842
30000.0,21214.292999999998
30250.0,21133.963
30500.0,21183.014
30750.0,21223.63
31000.0,21189.646
31250.0,21178.074
31500.0,21246.646
31750.0,21204.741
32000.0,21218.32
32250.0,21359.917999999998
32500.0,21418.738999999998
32750.0,21345.407000000003
33000.0,21229.631
33250.0,20961.124
33500.0,21097.577999999998
33750.0,20830.936999999998
34000.0,20921.398999999998
34250.0,20942.805
34500.0,21019.095
34750.0,20992.238999999998
35000.0,20974.19
35250.0,21261.179
35500.0,20964.101000000002
35750.0,20890.471
36000.0,20893.33
36250.0,20835.113
36500.0,20823.475
36750.0,21097.244
37000.0,20759.111
37250.0,21040.001
37500.0,20821.991
37750.0,21111.142999999996
38000.0,21002.006
38250.0,20689.678
38500.0,20699.71
38750.0,20545.961
39000.0,20628.831000000002
39250.0,20744.506999999998
39500.0,20784.512
39750.0,20661.298
40000.0,20643.583
40250.0,20755.712
40500.0,20531.487
40750.0,20578.057
41000.0,20597.361
41250.0,20842.921000000002
41500.0,20693.951
41750.0,20602.4
42000.0,20719.592
42250.0,20647.869
42500.0,20710.268
42750.0,20740.89
43000.0,20663.46
43250.0,21065.131
43500.0,20644.255
43750.0,20578.924
44000.0,20364.699
44250.0,20318.498
44500.0,20718.788
44750.0,20687.431
45000.0,20402.13
45250.0,20660.45
45500.0,20842.905
45750.0,20896.502
46000.0,20712.386000000002
46250.0,20632.557
46500.0,20649.15
46750.0,20605.93
47000.0,20770.249
47250.0,20858.21
47500.0,20576.25
47750.0,20625.776
48000.0,20844.088
48250.0,20510.752
48500.0,20389.514
48750.0,20499.381
49000.0,20447.841
49250.0,20415.153000000002
49500.0,20513.641
49750.0,20405.006
